Canal de Origem,Região,UF,Sexo,Faixa Etária,Ano Abertura,Mês Abertura,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,target_resolvida
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2017.0,8.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,S,0
Plataforma Web,CO,MT,F,entre 41 a 50 anos,2021.0,8.0,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,S,0
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2022.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,1
Plataforma Web,S,SC,M,entre 31 a 40 anos,2018.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Contrato / Oferta,Dificuldade para rescindir o contrato / cancelar o serviço,"Stand, feiras e eventos",S,0
Plataforma Web,S,PR,M,entre 41 a 50 anos,2022.0,2.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,N,0
Plataforma Web,NE,MA,M,entre 41 a 50 anos,2022.0,9.0,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Cobrança / Contestação,"Cobrança adicional não informada previamente (frete, montagem, taxas)",Internet,N,0
Plataforma Web,SE,SP,F,entre 31 a 40 anos,2024.0,3.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Não informado,SE,RJ,M,entre 31 a 40 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,N,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2019.0,12.0,Não informado,Serviços Financeiros,Atendimento Bancário,Vício de Qualidade,Fila em banco,Loja física,S,0
Plataforma Web,NE,PE,M,entre 41 a 50 anos,2024.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,SE,MG,F,entre 21 a 30 anos,2023.0,9.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dados Pessoais e Privacidade,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Loja física,S,1
Plataforma Web,SE,RJ,F,entre 61 a 70 anos,2024.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Internet,S,1
